equation,eGFR_cut,Creatinine_type,n,Median eGFR,RMSE,median,IQR,Dose P20
CKD-EPI,"(0,60]",Non_IDMS,217,50.83,"12.03 (10.57, 13.57)","1.82 (0.59, 3.04)","13.84 (11.88, 16.16)","0.16 (0.11, 0.21)"
MDRD,"(0,60]",Non_IDMS,203,50.75,"13.02 (11.08, 14.99)","0.25 (-1.4, 1.58)","14.12 (11.01, 17.57)","0.18 (0.13, 0.23)"
FAS,"(0,60]",Non_IDMS,284,50.15,"13.55 (12.19, 14.9)","4.6 (3.41, 5.87)","15.26 (13.21, 17.55)","0.2 (0.16, 0.25)"
LM,"(0,60]",Non_IDMS,270,50.17,"13.72 (12.14, 15.36)","4.68 (3.17, 5.89)","14.32 (12.17, 16.19)","0.21 (0.16, 0.26)"
CamGFR v2,"(60,90]",Non_IDMS,527,76.99,"15.4 (14.25, 16.55)","0.01 (-1.43, 1.53)","18.27 (16.03, 20.14)","0.17 (0.14, 0.21)"
CamGFR v1,"(60,90]",Non_IDMS,544,76.32,"15.51 (14.37, 16.66)","0.27 (-1.39, 1.7)","18.68 (16.4, 20.72)","0.17 (0.14, 0.2)"
CKD-EPI,"(60,90]",Non_IDMS,446,75.93,"15.87 (14.68, 17.04)","0.12 (-1.32, 1.38)","19.17 (16.75, 21.01)","0.2 (0.16, 0.24)"
MDRD,"(60,90]",Non_IDMS,469,75.52,"16.44 (15.28, 17.62)","1.52 (-0.1, 3.24)","20.49 (17.84, 23.18)","0.2 (0.17, 0.24)"
FAS,"(60,90]",Non_IDMS,442,74.16,"17.35 (16.01, 18.73)","6.14 (4.6, 7.49)","19.78 (17.33, 21.9)","0.18 (0.15, 0.22)"
LM,"(60,90]",Non_IDMS,534,74.19,"17.86 (16.74, 19.03)","7.96 (6.11, 9.58)","20.09 (18.46, 21.85)","0.18 (0.15, 0.21)"
CamGFR v1,"(90,310]",Non_IDMS,203,97.19,"15.71 (14.22, 17.28)","0.81 (-2.07, 4.4)","20.93 (18, 25.34)","0.14 (0.09, 0.19)"
CamGFR v2,"(90,310]",Non_IDMS,213,98,"15.86 (14.47, 17.29)","-1.66 (-4.84, 1.49)","21 (17.87, 24.37)","0.14 (0.09, 0.18)"
LM,"(90,310]",Non_IDMS,117,97.25,"17.38 (15.43, 19.44)","-0.19 (-5.26, 4.52)","24.35 (19.68, 29.69)","0.15 (0.09, 0.22)"
CKD-EPI,"(90,310]",Non_IDMS,258,100.3,"18.7 (17.13, 20.28)","-5.94 (-9.08, -2.32)","22.67 (19.86, 25.73)","0.21 (0.16, 0.25)"
FAS,"(90,310]",Non_IDMS,195,102.85,"24.06 (19.71, 28.66)","-6.75 (-10.87, -1.92)","26.16 (21.95, 30.1)","0.24 (0.18, 0.3)"
MDRD,"(90,310]",Non_IDMS,249,102.78,"27.66 (23.34, 32.17)","-10.52 (-13.85, -7.17)","27.75 (23.86, 31.4)","0.33 (0.27, 0.39)"
